campaign_id,milestone_rank,view_threshold,payout_amount
CMP_028,4,6000,37500
CMP_028,5,9600,45000
CMP_029,1,4500,15000
CMP_029,2,10500,22500
CMP_029,3,18000,30000
CMP_029,4,30000,37500
CMP_029,5,48000,45000
CMP_030,1,900,5000
CMP_030,2,2100,7500
CMP_030,3,3600,10000
CMP_030,4,6000,12500
CMP_030,5,9600,15000
CMP_031,1,22500,2500
CMP_031,2,52500,3750
CMP_031,3,90000,5000
CMP_031,4,150000,6250
CMP_031,5,240000,7500
CMP_032,1,4500,7500
CMP_032,2,10500,11250
CMP_032,3,18000,15000
CMP_032,4,30000,18750
CMP_032,5,48000,22500
CMP_033,1,4500,1500
CMP_033,2,10500,2250
CMP_033,3,18000,3000
CMP_033,4,30000,3750
CMP_033,5,48000,4500
CMP_034,1,900,15000
CMP_034,2,2100,22500
CMP_034,3,3600,30000
CMP_034,4,6000,37500
CMP_034,5,9600,45000
CMP_035,1,4500,1500
CMP_035,2,10500,2250
CMP_035,3,18000,3000
CMP_035,4,30000,3750
CMP_035,5,48000,4500
CMP_036,1,4500,1500
CMP_036,2,10500,2250
CMP_036,3,18000,3000
CMP_036,4,30000,3750
CMP_036,5,48000,4500
CMP_037,1,22500,1500
CMP_037,2,52500,2250
CMP_037,3,90000,3000
CMP_037,4,150000,3750
CMP_037,5,240000,4500
CMP_038,1,4500,5000
CMP_038,2,10500,7500
CMP_038,3,18000,10000
CMP_038,4,30000,12500
CMP_038,5,48000,15000
CMP_039,1,22500,15000
CMP_039,2,52500,22500
CMP_039,3,90000,30000
CMP_039,4,150000,37500
CMP_039,5,240000,45000
CMP_040,1,4500,1500
CMP_040,2,10500,2250
CMP_040,3,18000,3000
CMP_040,4,30000,3750
CMP_040,5,48000,4500
CMP_041,1,900,7500
CMP_041,2,2100,11250
CMP_041,3,3600,15000
CMP_041,4,6000,18750
CMP_041,5,9600,22500
CMP_042,1,22500,10000
CMP_042,2,52500,15000
CMP_042,3,90000,20000
CMP_042,4,150000,25000
CMP_042,5,240000,30000
CMP_043,1,22500,1500
CMP_043,2,52500,2250
CMP_043,3,90000,3000
CMP_043,4,150000,3750
CMP_043,5,240000,4500
CMP_044,1,4500,5000
CMP_044,2,10500,7500
CMP_044,3,18000,10000
CMP_044,4,30000,12500
CMP_044,5,48000,15000
CMP_045,1,22500,15000
CMP_045,2,52500,22500
CMP_045,3,90000,30000
CMP_045,4,150000,37500
CMP_045,5,240000,45000
CMP_046,1,4500,5000
CMP_046,2,10500,7500
CMP_046,3,18000,10000
CMP_046,4,30000,12500
CMP_046,5,48000,15000
CMP_047,1,4500,1500
CMP_047,2,10500,2250
CMP_047,3,18000,3000
CMP_047,4,30000,3750
CMP_047,5,48000,4500
CMP_048,1,4500,15000
CMP_048,2,10500,22500
CMP_048,3,18000,30000
CMP_048,4,30000,37500
CMP_048,5,48000,45000
CMP_049,1,900,10000
CMP_049,2,2100,15000
CMP_049,3,3600,20000
CMP_049,4,6000,25000
CMP_049,5,9600,30000
CMP_050,1,900,1500
CMP_050,2,2100,2250
CMP_050,3,3600,3000
CMP_050,4,6000,3750
CMP_050,5,9600,4500
