post_id,campaign_id,creator_id,post_date,views_at_24h,views_at_7d,views_at_30d,views_final,total_payout_earned,historical_avg_views_per_post,historical_completion_rate
P_0051,CMP_011,CR_111,2024-01-12 02:00:00,335264,521875,655192,697341,35311,Macro,0.8195609443091296
P_0052,CMP_018,CR_086,2024-01-12 03:00:00,5485,9296,12930,13216,996,Micro,0.9218202971739443
P_0053,CMP_047,CR_034,2024-01-12 04:00:00,17845,36190,45626,50051,2693,Mid,0.7714813125717244
P_0054,CMP_012,CR_111,2024-01-12 05:00:00,65361,128109,167312,174645,8985,Macro,0.7130303966727106
P_0055,CMP_009,CR_008,2024-01-12 06:00:00,101206,241774,262322,286599,14609,Macro,0.5268724200369002
P_0056,CMP_010,CR_040,2024-01-12 07:00:00,1195,2097,2474,2669,465,Nano,0.8022390266957133
P_0057,CMP_044,CR_113,2024-01-12 08:00:00,1622,3407,3751,4057,606,Nano,0.761993941895704
P_0058,CMP_017,CR_108,2024-01-12 09:00:00,1077,1964,2437,2498,264,Nano,0.9455940021144296
P_0059,CMP_038,CR_083,2024-01-12 10:00:00,13239,24102,30518,31225,2017,Micro,0.6076214500020094
P_0060,CMP_007,CR_042,2024-01-12 11:00:00,1163,2400,2938,3213,265,Nano,0.7388318098790762
P_0061,CMP_046,CR_041,2024-01-12 12:00:00,4700,9057,10326,11451,820,Micro,0.7929308008031326
P_0062,CMP_013,CR_101,2024-01-12 13:00:00,9462,17805,23652,24700,1345,Micro,0.7900660286340546
P_0063,CMP_040,CR_006,2024-01-12 14:00:00,2082,4212,4710,5046,509,Micro,0.7525820943267811
P_0064,CMP_042,CR_052,2024-01-12 15:00:00,27956,60566,66642,73467,3983,Mid,0.8496176046472514
P_0065,CMP_009,CR_026,2024-01-12 16:00:00,28944,45455,58044,60799,3344,Mid,0.5922415442870674
P_0066,CMP_050,CR_064,2024-01-12 17:00:00,2155,4829,5406,5730,452,Micro,0.8265322401234871
P_0067,CMP_027,CR_098,2024-01-12 18:00:00,2367,3947,4688,4792,597,Micro,0.7788805571448901
P_0068,CMP_002,CR_059,2024-01-12 19:00:00,2253,4371,5017,5465,391,Nano,0.903233800307558
P_0069,CMP_005,CR_056,2024-01-12 20:00:00,11353,17098,22193,23805,1595,Micro,0.8812374975651117
P_0070,CMP_029,CR_059,2024-01-12 21:00:00,1468,2551,3118,3306,643,Nano,0.641816167609649
P_0071,CMP_037,CR_109,2024-01-12 22:00:00,345975,583198,724068,751626,37817,Macro,0.6243067962388189
P_0072,CMP_038,CR_070,2024-01-12 23:00:00,1806,2853,3665,3883,501,Nano,0.9417439957336016
P_0073,CMP_019,CR_101,2024-01-13 00:00:00,12039,20134,26837,28279,1665,Micro,0.7372693314118655
P_0074,CMP_008,CR_033,2024-01-13 01:00:00,1655,3132,3521,3836,294,Nano,0.9078894337614966
P_0075,CMP_048,CR_053,2024-01-13 02:00:00,1078,1814,2444,2526,380,Nano,0.5737464607012169
P_0076,CMP_045,CR_022,2024-01-13 03:00:00,3103,5589,6617,7083,770,Micro,0.7892685116600784
P_0077,CMP_001,CR_021,2024-01-13 04:00:00,735,1743,1890,2075,442,Nano,0.8644370843122637
P_0078,CMP_022,CR_070,2024-01-13 05:00:00,1045,2123,2434,2554,268,Nano,0.9263278623139011
P_0079,CMP_017,CR_070,2024-01-13 06:00:00,2978,5009,6195,6754,776,Nano,0.6518030634576606
P_0080,CMP_007,CR_119,2024-01-13 07:00:00,2080,3915,4294,4731,548,Nano,0.8262415264658236
P_0081,CMP_025,CR_112,2024-01-13 08:00:00,7638,11402,15782,16288,1251,Micro,0.7424658540678286
P_0082,CMP_045,CR_004,2024-01-13 09:00:00,10092,15820,21093,22516,1457,Micro,0.5272830167299107
P_0083,CMP_004,CR_094,2024-01-13 10:00:00,2040,3232,3926,4090,528,Nano,0.8104998817890245
P_0084,CMP_036,CR_075,2024-01-13 11:00:00,1369,2632,3220,3488,316,Nano,0.8105434512070295
P_0085,CMP_006,CR_062,2024-01-13 12:00:00,2195,4120,5234,5436,438,Micro,0.9187730621809416
P_0086,CMP_031,CR_062,2024-01-13 13:00:00,10785,20763,24052,26462,1811,Micro,0.7237906007760375
P_0087,CMP_019,CR_094,2024-01-13 14:00:00,950,1649,2102,2264,304,Nano,0.6036129143197316
P_0088,CMP_044,CR_095,2024-01-13 15:00:00,245125,377311,504401,515619,26271,Macro,0.5200537205519056
P_0089,CMP_039,CR_024,2024-01-13 16:00:00,2339,4690,5848,6070,616,Nano,0.6870389840086575
P_0090,CMP_027,CR_055,2024-01-13 17:00:00,18680,32568,37641,40053,2156,Mid,0.6358625150348758
P_0091,CMP_010,CR_009,2024-01-13 18:00:00,194886,376172,439865,474411,23860,Macro,0.842489737710744
P_0092,CMP_026,CR_119,2024-01-13 19:00:00,1056,1787,2327,2400,303,Nano,0.6594204941784709
P_0093,CMP_019,CR_003,2024-01-13 20:00:00,96474,165795,204620,216854,11312,Macro,0.9270820383416798
P_0094,CMP_039,CR_115,2024-01-13 21:00:00,6328,11312,14977,15591,1045,Micro,0.9330395913445029
P_0095,CMP_003,CR_031,2024-01-13 22:00:00,6764,11269,15217,15846,1050,Micro,0.7794088655979686
P_0096,CMP_045,CR_040,2024-01-13 23:00:00,1256,2493,2749,3050,377,Nano,0.9178971291566973
P_0097,CMP_013,CR_101,2024-01-14 00:00:00,2161,4438,5459,5999,458,Micro,0.8423844550315229
P_0098,CMP_050,CR_036,2024-01-14 01:00:00,1151,2013,2640,2771,433,Nano,0.7460868384388067
P_0099,CMP_028,CR_024,2024-01-14 02:00:00,4264,9400,10677,11696,736,Nano,0.5811385709402501
P_0100,CMP_020,CR_095,2024-01-14 03:00:00,20740,40026,46475,50493,2958,Macro,0.706369074581228
P_0101,CMP_028,CR_006,2024-01-14 04:00:00,9881,17896,21965,22512,1373,Micro,0.7523935085131779
P_0102,CMP_008,CR_066,2024-01-14 05:00:00,49327,82907,106670,112901,5894,Mid,0.8887827113307545
P_0103,CMP_041,CR_084,2024-01-14 06:00:00,592,969,1266,1319,355,Nano,0.7166000194410491
P_0104,CMP_039,CR_092,2024-01-14 07:00:00,3672,7389,9521,10080,781,Micro,0.9039536027050805
P_0105,CMP_001,CR_075,2024-01-14 08:00:00,732,1187,1543,1635,579,Nano,0.803457040560561
P_0106,CMP_003,CR_004,2024-01-14 09:00:00,16124,32440,36876,40634,2349,Micro,0.5616495783741521
P_0107,CMP_013,CR_079,2024-01-14 10:00:00,10613,21420,24017,25895,1430,Micro,0.9477416161962917
P_0108,CMP_028,CR_006,2024-01-14 11:00:00,12761,21556,24594,26658,1675,Micro,0.7372546973392606
P_0109,CMP_049,CR_118,2024-01-14 12:00:00,22616,52706,59944,64369,3379,Mid,0.6763362333840854
P_0110,CMP_025,CR_113,2024-01-14 13:00:00,2870,4982,6313,6550,439,Nano,0.7966011940112869
P_0111,CMP_033,CR_094,2024-01-14 14:00:00,1304,2367,2757,2966,636,Nano,0.5490019912914675
P_0112,CMP_038,CR_120,2024-01-14 15:00:00,12365,22741,28267,30196,1919,Micro,0.7864423910390095
P_0113,CMP_006,CR_102,2024-01-14 16:00:00,4711,9516,11385,12219,1102,Micro,0.7242062002246727
P_0114,CMP_044,CR_051,2024-01-14 17:00:00,68765,137860,162001,178519,9217,Macro,0.6830033314993624
P_0115,CMP_045,CR_062,2024-01-14 18:00:00,19108,28769,37036,39599,2292,Micro,0.9288590095305046
P_0116,CMP_032,CR_057,2024-01-14 19:00:00,5492,10001,12080,13193,826,Micro,0.7351428725294239
P_0117,CMP_045,CR_066,2024-01-14 20:00:00,13953,29489,31945,34916,1944,Mid,0.5986028657614723
P_0118,CMP_047,CR_079,2024-01-14 21:00:00,3230,5706,7024,7740,822,Micro,0.7065335657197844
P_0119,CMP_021,CR_075,2024-01-14 22:00:00,779,1245,1606,1730,328,Nano,0.9137243320577026
P_0120,CMP_016,CR_008,2024-01-14 23:00:00,165617,339724,427823,445372,22699,Macro,0.5792429620987676
P_0121,CMP_021,CR_026,2024-01-15 00:00:00,23552,46186,52030,56425,3204,Mid,0.5962806674097066
P_0122,CMP_011,CR_051,2024-01-15 01:00:00,466799,838740,985397,1065308,53436,Macro,0.5058633054906877
P_0123,CMP_037,CR_045,2024-01-15 02:00:00,13399,21833,25896,27219,1663,Micro,0.5063855222280952
P_0124,CMP_036,CR_044,2024-01-15 03:00:00,1349,2533,3184,3478,544,Nano,0.8732262321313307
P_0125,CMP_035,CR_005,2024-01-15 04:00:00,12527,24592,30141,31018,1744,Micro,0.82945517307933
P_0126,CMP_019,CR_070,2024-01-15 05:00:00,900,1657,2084,2214,542,Nano,0.6597684754033812
P_0127,CMP_020,CR_026,2024-01-15 06:00:00,8673,16234,18412,19675,1301,Mid,0.8142400207524076
P_0128,CMP_018,CR_118,2024-01-15 07:00:00,13342,26266,31234,33065,1819,Mid,0.6778426668394866
P_0129,CMP_047,CR_068,2024-01-15 08:00:00,28125,47732,59731,65403,3603,Mid,0.9288035581990224
P_0130,CMP_041,CR_019,2024-01-15 09:00:00,109712,166632,222839,234796,12239,Macro,0.9351737066417156
P_0131,CMP_049,CR_084,2024-01-15 10:00:00,2227,3452,4541,4888,404,Nano,0.6767571991142045
P_0132,CMP_014,CR_097,2024-01-15 11:00:00,23166,41987,53991,55560,3204,Mid,0.8843998578533906
P_0133,CMP_015,CR_020,2024-01-15 12:00:00,2239,3454,4265,4669,416,Nano,0.8478900687638597
P_0134,CMP_031,CR_113,2024-01-15 13:00:00,3181,5846,6899,7336,779,Nano,0.6394999717273052
P_0135,CMP_001,CR_012,2024-01-15 14:00:00,5333,9588,11728,12374,1012,Micro,0.6044179230054977
P_0136,CMP_003,CR_047,2024-01-15 15:00:00,132960,277021,337961,374402,18940,Macro,0.7062055926767752
P_0137,CMP_016,CR_001,2024-01-15 16:00:00,517,751,966,1040,282,Nano,0.8516069782764828
P_0138,CMP_023,CR_090,2024-01-15 17:00:00,4569,8918,11888,12402,1037,Micro,0.9320755031279354
P_0139,CMP_011,CR_014,2024-01-15 18:00:00,547,1180,1374,1423,355,Nano,0.8436105809899577
P_0140,CMP_012,CR_064,2024-01-15 19:00:00,5214,10735,13483,14576,1121,Micro,0.8848431432582664
P_0141,CMP_010,CR_038,2024-01-15 20:00:00,6864,12278,14835,15391,928,Micro,0.7713789377767324
P_0142,CMP_032,CR_037,2024-01-15 21:00:00,1314,2815,3349,3427,612,Nano,0.8759335238789566
P_0143,CMP_016,CR_011,2024-01-15 22:00:00,3775,7933,9700,10015,885,Micro,0.8529893861015378
P_0144,CMP_008,CR_100,2024-01-15 23:00:00,19273,43978,48247,53054,3115,Micro,0.6696434938668261
P_0145,CMP_038,CR_077,2024-01-16 00:00:00,508,1056,1335,1392,222,Nano,0.7483956359543245
P_0146,CMP_012,CR_107,2024-01-16 01:00:00,2634,5075,5570,6018,638,Micro,0.8621389048953627
P_0147,CMP_024,CR_003,2024-01-16 02:00:00,328283,521488,709160,724318,36555,Macro,0.5207255303854804
P_0148,CMP_028,CR_033,2024-01-16 03:00:00,799,1397,1833,1953,339,Nano,0.8636356770601235
P_0149,CMP_008,CR_006,2024-01-16 04:00:00,3198,6054,6895,7579,662,Micro,0.5800496558220606
P_0150,CMP_028,CR_050,2024-01-16 05:00:00,5375,9986,11370,11869,708,Nano,0.7316076277046475
P_0151,CMP_036,CR_120,2024-01-16 06:00:00,8510,19822,22345,24135,1605,Micro,0.8637239478001719
P_0152,CMP_026,CR_010,2024-01-16 07:00:00,831,1484,2043,2086,424,Nano,0.6142194851705127
P_0153,CMP_008,CR_005,2024-01-16 08:00:00,7549,11293,14892,15222,884,Micro,0.6106133476877689
P_0154,CMP_050,CR_023,2024-01-16 09:00:00,376901,724060,821467,862441,43494,Macro,0.6812439793080134
P_0155,CMP_028,CR_010,2024-01-16 10:00:00,1752,3331,4109,4514,512,Nano,0.9025892589099356
P_0156,CMP_028,CR_044,2024-01-16 11:00:00,2761,5269,6158,6449,436,Nano,0.5001992516467435
P_0157,CMP_037,CR_002,2024-01-16 12:00:00,8691,17836,19647,21652,1570,Micro,0.9056223934888707
P_0158,CMP_041,CR_013,2024-01-16 13:00:00,2239,4033,4700,5209,740,Nano,0.5692131610887234
P_0159,CMP_036,CR_040,2024-01-16 14:00:00,1125,2313,2947,3052,457,Nano,0.9455388692303669
P_0160,CMP_027,CR_002,2024-01-16 15:00:00,4975,10323,12331,13451,810,Micro,0.9296811468673106
P_0161,CMP_017,CR_084,2024-01-16 16:00:00,1299,2567,3254,3498,576,Nano,0.7226038353160775
P_0162,CMP_009,CR_065,2024-01-16 17:00:00,10191,17299,20297,20757,1334,Micro,0.7307241115156826
P_0163,CMP_033,CR_063,2024-01-16 18:00:00,5183,8651,10447,11271,784,Micro,0.7166972031241344
P_0164,CMP_020,CR_101,2024-01-16 19:00:00,5381,11964,13277,14374,1015,Micro,0.7859496405467852
P_0165,CMP_013,CR_073,2024-01-16 20:00:00,4194,7938,10794,11089,863,Micro,0.5408247660057189
P_0166,CMP_028,CR_017,2024-01-16 21:00:00,1468,2710,2903,3195,484,Nano,0.5146780767537049
P_0167,CMP_048,CR_009,2024-01-16 22:00:00,47304,97096,121707,126677,6610,Macro,0.5259663177871545
P_0168,CMP_029,CR_075,2024-01-16 23:00:00,5483,10067,13937,14236,1054,Nano,0.6999644071586815
P_0169,CMP_013,CR_015,2024-01-17 00:00:00,4255,6073,8365,8606,897,Micro,0.6239965726487675
P_0170,CMP_046,CR_024,2024-01-17 01:00:00,931,1947,2284,2399,364,Nano,0.7799178030669471
P_0171,CMP_035,CR_038,2024-01-17 02:00:00,3670,6527,7559,8171,798,Micro,0.9465990302186504
P_0172,CMP_006,CR_119,2024-01-17 03:00:00,2142,3538,3969,4313,673,Nano,0.6738454278844097
P_0173,CMP_018,CR_035,2024-01-17 04:00:00,4823,8501,11467,11877,876,Micro,0.758228564347031
P_0174,CMP_005,CR_094,2024-01-17 05:00:00,589,1178,1621,1671,360,Nano,0.6870217531583009
P_0175,CMP_047,CR_095,2024-01-17 06:00:00,153863,308938,374900,397969,20239,Macro,0.8812722504748367
P_0176,CMP_025,CR_049,2024-01-17 07:00:00,10196,16286,19753,21482,1410,Micro,0.9060063815580071
P_0177,CMP_002,CR_069,2024-01-17 08:00:00,6156,9873,11666,12834,1064,Micro,0.894810025492367
P_0178,CMP_010,CR_062,2024-01-17 09:00:00,4174,7614,8136,8971,739,Micro,0.9384675074056659
P_0179,CMP_030,CR_060,2024-01-17 10:00:00,81809,188516,213466,222935,11645,Mid,0.5123836333131869
P_0180,CMP_050,CR_108,2024-01-17 11:00:00,1715,3075,3412,3655,306,Nano,0.8779172729654889
P_0181,CMP_045,CR_050,2024-01-17 12:00:00,676,1133,1348,1387,170,Nano,0.838297477867592
P_0182,CMP_005,CR_078,2024-01-17 13:00:00,3064,5244,6678,6963,704,Nano,0.6029124842301641
P_0183,CMP_033,CR_117,2024-01-17 14:00:00,78864,122331,146977,160578,8248,Macro,0.9303440420243874
P_0184,CMP_001,CR_120,2024-01-17 15:00:00,32814,54164,65701,69225,3657,Micro,0.5666800677034755
P_0185,CMP_018,CR_075,2024-01-17 16:00:00,1406,2577,2922,3126,381,Nano,0.8057974672102588
P_0186,CMP_032,CR_009,2024-01-17 17:00:00,215173,350084,466338,492864,24845,Macro,0.6012005975671606
P_0187,CMP_047,CR_034,2024-01-17 18:00:00,6914,13125,16484,17188,971,Mid,0.6941212919483336
P_0188,CMP_049,CR_076,2024-01-17 19:00:00,2311,4404,5962,6182,797,Micro,0.823621953625056
P_0189,CMP_011,CR_099,2024-01-17 20:00:00,58748,103595,128961,133294,6852,Mid,0.753496088914871
P_0190,CMP_021,CR_035,2024-01-17 21:00:00,6429,13495,14877,16166,1201,Micro,0.6923758240976503
P_0191,CMP_026,CR_001,2024-01-17 22:00:00,4872,8297,9162,10152,912,Nano,0.6468522939193943
P_0192,CMP_025,CR_040,2024-01-17 23:00:00,1990,2927,3825,3988,671,Nano,0.8778468450689556
P_0193,CMP_022,CR_064,2024-01-18 00:00:00,6746,12337,13242,14576,841,Micro,0.5647164576416661
P_0194,CMP_027,CR_022,2024-01-18 01:00:00,13580,29885,34557,37352,2316,Micro,0.69354629443841
P_0195,CMP_049,CR_060,2024-01-18 02:00:00,43170,77005,98820,109763,5799,Mid,0.9066909072988139
P_0196,CMP_013,CR_064,2024-01-18 03:00:00,4350,8767,11335,11875,946,Micro,0.8806322977069854
P_0197,CMP_033,CR_093,2024-01-18 04:00:00,691,1142,1412,1546,435,Nano,0.6804237931128709
P_0198,CMP_034,CR_072,2024-01-18 05:00:00,6706,10250,13742,14429,1149,Mid,0.8433987636205886
P_0199,CMP_041,CR_011,2024-01-18 06:00:00,5022,8670,10061,10274,747,Micro,0.8704223738189867
P_0200,CMP_035,CR_105,2024-01-18 07:00:00,607,1128,1324,1462,466,Nano,0.8999993408016334
P_0201,CMP_001,CR_101,2024-01-18 08:00:00,30805,52973,57531,63489,3485,Micro,0.7450275960721526
P_0202,CMP_021,CR_014,2024-01-18 09:00:00,971,1509,1870,2017,518,Nano,0.5920073987246203
P_0203,CMP_048,CR_060,2024-01-18 10:00:00,15851,28657,38645,39869,2489,Mid,0.6148890844267693
P_0204,CMP_006,CR_030,2024-01-18 11:00:00,2575,4134,4918,5362,448,Micro,0.6330626033187219
P_0205,CMP_028,CR_035,2024-01-18 12:00:00,4626,8164,10575,11386,1067,Micro,0.7672111163643269
P_0206,CMP_017,CR_085,2024-01-18 13:00:00,3537,6929,8118,8966,584,Micro,0.5147643308578738
P_0207,CMP_005,CR_037,2024-01-18 14:00:00,3782,7086,8126,8456,523,Nano,0.7862191109509857
P_0208,CMP_031,CR_005,2024-01-18 15:00:00,5901,11500,13784,14780,856,Micro,0.6639594072927044
P_0209,CMP_005,CR_083,2024-01-18 16:00:00,5906,10530,12766,13288,901,Micro,0.6328588111203389
P_0210,CMP_038,CR_078,2024-01-18 17:00:00,1213,1988,2672,2749,490,Nano,0.8957734568276567
P_0211,CMP_003,CR_026,2024-01-18 18:00:00,41696,67802,88151,95961,4925,Mid,0.7070010780113595
P_0212,CMP_023,CR_062,2024-01-18 19:00:00,4145,7298,9823,10184,611,Micro,0.5427738704897117
P_0213,CMP_037,CR_004,2024-01-18 20:00:00,8617,15745,18036,19936,1471,Micro,0.8720360456118111
P_0214,CMP_037,CR_089,2024-01-18 21:00:00,15462,25130,34196,35185,2188,Micro,0.521438565846428
P_0215,CMP_010,CR_109,2024-01-18 22:00:00,152721,267495,336689,353643,18105,Macro,0.8270371508756884
P_0216,CMP_010,CR_042,2024-01-18 23:00:00,1069,2007,2488,2566,582,Nano,0.8482577997967993
P_0217,CMP_019,CR_089,2024-01-19 00:00:00,2655,5716,6785,7539,756,Micro,0.6586711726679861
P_0218,CMP_017,CR_018,2024-01-19 01:00:00,1106,1830,2308,2527,268,Nano,0.871154535325004
P_0219,CMP_021,CR_040,2024-01-19 02:00:00,1568,3096,3891,4179,468,Nano,0.732046732635404
P_0220,CMP_014,CR_072,2024-01-19 03:00:00,10656,20034,22209,23872,1582,Mid,0.7084821439727585
P_0221,CMP_009,CR_039,2024-01-19 04:00:00,10206,17632,20200,22002,1312,Micro,0.5204314766609116
P_0222,CMP_046,CR_104,2024-01-19 05:00:00,6432,11718,14080,15132,1131,Micro,0.6305131371420076
P_0223,CMP_001,CR_014,2024-01-19 06:00:00,1175,1912,2480,2725,246,Nano,0.9189544868983849
P_0224,CMP_045,CR_032,2024-01-19 07:00:00,4431,7634,8391,8994,672,Micro,0.676320783477575
P_0225,CMP_013,CR_051,2024-01-19 08:00:00,96190,161445,194405,201626,10400,Macro,0.7460152342505457
P_0226,CMP_004,CR_038,2024-01-19 09:00:00,9312,14290,17937,19117,1308,Micro,0.7394097555429133
P_0227,CMP_001,CR_097,2024-01-19 10:00:00,26171,46119,49975,55440,3102,Mid,0.765693990420212
P_0228,CMP_049,CR_023,2024-01-19 11:00:00,72774,146757,185485,198653,10311,Macro,0.5275989300394772
P_0229,CMP_040,CR_063,2024-01-19 12:00:00,6589,13831,15964,17696,987,Micro,0.6629793146594277
P_0230,CMP_032,CR_015,2024-01-19 13:00:00,7774,14414,17710,18122,1046,Micro,0.8254077232471493
P_0231,CMP_034,CR_097,2024-01-19 14:00:00,10948,20745,25754,28296,1862,Mid,0.5902521129828423
P_0232,CMP_028,CR_025,2024-01-19 15:00:00,7934,15939,18007,18824,1313,Micro,0.5916102698958622
P_0233,CMP_031,CR_017,2024-01-19 16:00:00,5471,10861,13076,13373,813,Nano,0.5045407730100612
P_0234,CMP_008,CR_097,2024-01-19 17:00:00,34316,62192,76669,79361,4404,Mid,0.6968668669736944
P_0235,CMP_039,CR_111,2024-01-19 18:00:00,44732,70395,92552,96818,5037,Macro,0.8972304713030399
P_0236,CMP_026,CR_119,2024-01-19 19:00:00,1516,2347,3206,3315,457,Nano,0.5233554246142891
P_0237,CMP_034,CR_066,2024-01-19 20:00:00,8546,14930,19531,19960,1156,Mid,0.5860034192732012
P_0238,CMP_003,CR_078,2024-01-19 21:00:00,9437,16209,18935,19938,1380,Nano,0.6395380422542398
P_0239,CMP_050,CR_053,2024-01-19 22:00:00,4726,8440,10769,11400,936,Nano,0.8292761314538958
P_0240,CMP_012,CR_104,2024-01-19 23:00:00,4340,6996,8513,8959,632,Micro,0.7882860167611638
P_0241,CMP_001,CR_104,2024-01-20 00:00:00,1252,2809,3272,3472,618,Micro,0.6871747570618347
P_0242,CMP_044,CR_051,2024-01-20 01:00:00,78130,113455,150622,158415,8181,Macro,0.841581022666269
P_0243,CMP_005,CR_039,2024-01-20 02:00:00,5371,9620,11216,11984,816,Micro,0.7743339552456059
P_0244,CMP_030,CR_051,2024-01-20 03:00:00,37947,66549,85540,93235,4822,Macro,0.9032183598457486
P_0245,CMP_030,CR_070,2024-01-20 04:00:00,1085,2416,2601,2860,349,Nano,0.8681120371124118
P_0246,CMP_017,CR_006,2024-01-20 05:00:00,5035,9230,10808,11937,705,Micro,0.6137661227401402
